Quarter,Year,Mean
1,1960,1.7
2,1960,1.6
3,1960,1.4
4,1960,1.2
1,1961,1.9
2,1961,1.9
3,1961,1.9
4,1961,1.9
1,1962,2.3
2,1962,1.9
3,1962,1.7
4,1962,1.9
1,1963,2.5
2,1963,2.4
3,1963,2.4
4,1963,2.3
1,1964,2.5
2,1964,2.5
3,1964,2.5
4,1964,2.5
1,1965,2.5
2,1965,2.6
3,1965,2.7
4,1965,2.7
1,1966,2.6
2,1966,3.9
3,1966,4.8
4,1966,4.4
1,1967,3.9
2,1967,4.3
3,1967,4.7
4,1967,5.1
1,1968,4.8
2,1968,4.5
3,1968,5.1
4,1968,3.9
1,1969,4.5
2,1969,5.5
3,1969,5.5
4,1969,4.1
1,1970,5.5
2,1970,6.1
3,1970,4.3
4,1970,5.4
1,1971,5.2
2,1971,4.7
3,1971,3.5
4,1971,4
1,1972,4.2
2,1972,3
3,1972,3.9
4,1972,3.9
1,1973,6.8
2,1973,6.1
3,1973,7.6
4,1973,6.4
1,1974,10
2,1974,9.4
3,1974,9.3
4,1974,10.7
1,1975,6.8
2,1975,3.4
3,1975,7.8
4,1975,7.2
1,1976,5.8
2,1976,5.8
3,1976,6.2
4,1976,5.7
1,1977,8.4
2,1977,7.6
3,1977,7.3
4,1977,6.8
1,1978,7.6
2,1978,8.2
3,1978,9.1
4,1978,8.7
1,1979,10.3
2,1979,11.7
3,1979,11
4,1979,11
1,1980,12.4
2,1980,10.2
3,1980,9.3
4,1980,10.3
1,1981,8.5
2,1981,8.6
3,1981,8.1
4,1981,7.9
1,1982,5.5
2,1982,5.2
3,1982,5.8
4,1982,5.3
1,1983,4.1
2,1983,4.5
3,1983,4.8
4,1983,5
1,1984,4.9
2,1984,5.3
3,1984,4.4
4,1984,5
1,1985,4.4
2,1985,4.8
3,1985,4.1
4,1985,4.7
1,1986,3.6
2,1986,3.5
3,1986,3.7
4,1986,3.7
1,1987,3.8
2,1987,4.2
3,1987,4.3
4,1987,4
1,1988,4.2
2,1988,4.9
3,1988,5.5
4,1988,5.2
1,1989,5.2
2,1989,5.2
3,1989,4.7
4,1989,4.6
1,1990,5.1
2,1990,4.6
3,1990,5.5
4,1990,5.6
1,1991,4.6
2,1991,4.4
3,1991,3.8
4,1991,4.2
1,1992,3.1
2,1992,3.6
3,1992,3.9
4,1992,3.7
1,1993,4.3
2,1993,4.3
3,1993,4.6
4,1993,3.7
1,1994,3.8
2,1994,4.1
3,1994,4.4
4,1994,4.1
1,1995,4.1
2,1995,4
3,1995,3.9
4,1995,3.5
1,1996,3.9
2,1996,4.5
3,1996,4.2
4,1996,4
1,1997,3.8
2,1997,3.6
3,1997,3.4
4,1997,3.3
1,1998,2.8
2,1998,3
3,1998,2.8
4,1998,2.7
1,1999,2.9
2,1999,3.1
3,1999,3.2
4,1999,3.5
1,2000,3.6
2,2000,3.5
3,2000,3.6
4,2000,3.8
1,2001,3.4
2,2001,3.9
3,2001,3.1
4,2001,1.5
1,2002,2.6
2,2002,3
3,2002,2.8
4,2002,2.7
1,2003,3.2
2,2003,2.6
3,2003,2.9
4,2003,3
1,2004,3.1
2,2004,4
3,2004,3.2
4,2004,3.5
1,2005,3.6
2,2005,3.9
3,2005,4.3
4,2005,4.5
1,2006,3.7
2,2006,4.5
3,2006,4
4,2006,3.5
1,2007,3.6
2,2007,4.2
3,2007,4.1
4,2007,4.1
1,2008,4.2
2,2008,6.4
3,2008,5.4
4,2008,3
1,2009,2.4
2,2009,3.4
3,2009,3.2
4,2009,3.1
1,2010,3.5
2,2010,3.7
3,2010,3.2
4,2010,3.6
1,2011,4.6
2,2011,4.9
3,2011,4.4
4,2011,3.9
1,2012,4.2
2,2012,3.7
3,2012,4.2
4,2012,4.1
1,2013,4.3
2,2013,4
3,2013,4.1
4,2013,3.7
1,2014,4.1
2,2014,4
3,2014,3.9
4,2014,3.2
1,2015,3.1
2,2015,3.3
3,2015,3.4
4,2015,3.3
1,2016,3.1
2,2016,3.1
3,2016,3.1
4,2016,2.9
1,2017,3.2
2,2017,3.1
3,2017,3.1
4,2017,3
1,2018,3.1
2,2018,3.4
3,2018,3.5
4,2018,3.4
1,2019,3
2,2019,3.4
3,2019,3.3
4,2019,3
1,2020,2.7
2,2020,3
3,2020,3.4
4,2020,3.1
1,2021,4.1
2,2021,5.4
3,2021,5.9
4,2021,6.4
1,2022,6.7
2,2022,7.9
3,2022,7
4,2022,7.1
1,2023,5.7
2,2023,6
3,2023,5.3
4,2023,5.6
1,2024,4.4
2,2024,5.3
3,2024,4.7
4,2024,4.8
1,2025,7.3
2,2025,10
3,2025,8.2
4,2025,7.4
1,2026,6.5
