"Tau","Series","FROM_Total","TO_C","TO_L","TO_Total","NET_Total"
0.1,"Food",1.986,1.324,1.312,2.636,0.65
0.1,"Gasoline",2.309,1.826,2.953,4.779,2.47
0.1,"HHEnergy",3.907,2.131,1.896,4.027,0.12
0.1,"CoreGoods",9.699,6.46,1.988,8.448,-1.251
0.1,"Shelter",5.446,3.359,2.153,5.512,0.067
0.1,"CoreServ_xS",6.004,2.412,1.536,3.948,-2.055
0.3,"Food",5.629,2.582,3.448,6.03,0.401
0.3,"Gasoline",1.475,1.117,0.996,2.113,0.638
0.3,"HHEnergy",4.168,2.128,2.755,4.882,0.714
0.3,"CoreGoods",12.464,7.414,4.478,11.892,-0.573
0.3,"Shelter",9.164,3.988,5.428,9.416,0.252
0.3,"CoreServ_xS",8.144,2.986,3.725,6.711,-1.433
0.5,"Food",9.048,4.405,5.136,9.541,0.493
0.5,"Gasoline",1.161,0.679,0.645,1.324,0.163
0.5,"HHEnergy",6.875,4.259,3.929,8.188,1.313
0.5,"CoreGoods",20.27,11.391,8.123,19.514,-0.756
0.5,"Shelter",15.887,8.136,8.393,16.529,0.642
0.5,"CoreServ_xS",14.617,6.559,6.203,12.762,-1.855
0.7,"Food",14.494,7.906,7.43,15.336,0.842
0.7,"Gasoline",3.43,2.333,2.14,4.472,1.042
0.7,"HHEnergy",14.636,8.827,5.795,14.621,-0.014
0.7,"CoreGoods",28.789,17.254,12.581,29.835,1.046
0.7,"Shelter",27.684,12.611,13.592,26.203,-1.481
0.7,"CoreServ_xS",21.092,10.214,9.444,19.657,-1.435
0.9,"Food",40.97,17.248,18.437,35.685,-5.285
0.9,"Gasoline",6.899,4.437,2.765,7.201,0.303
0.9,"HHEnergy",23.199,11.858,11.406,23.263,0.065
0.9,"CoreGoods",40.971,21.552,17.692,39.244,-1.727
0.9,"Shelter",49.767,25.371,28.65,54.02,4.253
0.9,"CoreServ_xS",37.572,16.044,23.92,39.965,2.392
