"nlag","Sample","Tau","MICH_TO","MICH_FROM","MICH_NET","TCI"
2,"Full",0.1,36.17,38.72,-2.55,37.45
2,"Full",0.3,48.04,47.09,0.95,47.56
2,"Full",0.5,52.74,47.91,4.83,50.33
2,"Full",0.7,63.1,49.44,13.66,56.27
2,"Full",0.9,63.55,53.07,10.48,58.31
2,"GreatInflation",0.1,77.41,77.2,0.22,77.31
2,"GreatInflation",0.3,64.08,58.18,5.91,61.13
2,"GreatInflation",0.5,56.63,56.09,0.54,56.36
2,"GreatInflation",0.7,49.13,51.32,-2.19,50.22
2,"GreatInflation",0.9,52.97,73.17,-20.2,63.07
2,"Core",0.1,40.59,46.55,-5.96,43.57
2,"Core",0.3,26.21,28.18,-1.97,27.2
2,"Core",0.5,29.6,26.61,2.99,28.11
2,"Core",0.7,29.88,21.07,8.81,25.48
2,"Core",0.9,62.27,33.14,29.13,47.71
2,"COVID",0.1,2.2,17.35,-15.15,9.77
2,"COVID",0.3,1.3,4.04,-2.74,2.67
2,"COVID",0.5,0.92,6.47,-5.54,3.7
2,"COVID",0.7,9.33,13.41,-4.08,11.37
2,"COVID",0.9,1.93,8.6,-6.67,5.26
1,"Full",0.1,34.63,40.9,-6.26,37.76
1,"Full",0.3,49.9,49.63,0.27,49.77
1,"Full",0.5,52.86,50.32,2.53,51.59
1,"Full",0.7,67.11,54.08,13.03,60.59
1,"Full",0.9,57.26,54.64,2.62,55.95
1,"GreatInflation",0.1,61.35,62.56,-1.21,61.96
1,"GreatInflation",0.3,67.26,62.26,5.01,64.76
1,"GreatInflation",0.5,60.16,57.18,2.98,58.67
1,"GreatInflation",0.7,52.65,56.2,-3.55,54.42
1,"GreatInflation",0.9,52.09,72.39,-20.3,62.24
1,"Core",0.1,41.98,40.96,1.02,41.47
1,"Core",0.3,28.25,26.27,1.98,27.26
1,"Core",0.5,29.45,27.4,2.05,28.43
1,"Core",0.7,29.39,21.55,7.84,25.47
1,"Core",0.9,29,28.78,0.23,28.89
1,"COVID",0.1,2.73,12.08,-9.35,7.41
1,"COVID",0.3,1,2.57,-1.56,1.79
1,"COVID",0.5,1.96,5.25,-3.29,3.61
1,"COVID",0.7,10.57,13.18,-2.62,11.88
1,"COVID",0.9,0,0,0,0
