"measure","sample","tau","InflToExp_C","InflToExp_L","ExpToInfl_C","ExpToInfl_L","NET_MICH"
"QoQ","Full",0.5,24.2,23.7,27.4,25.4,4.8
"QoQ","Full",0.7,20.9,28.5,27.7,35.4,13.7
"QoQ","Full",0.9,19.5,33.6,26.2,37.3,10.5
"QoQ","GreatInflation",0.5,28.4,27.7,27.6,29,0.5
"QoQ","GreatInflation",0.7,22.4,28.9,23,26.2,-2.2
"QoQ","GreatInflation",0.9,22.5,50.7,25.5,27.5,-20.2
"QoQ","Core",0.5,17.9,8.8,22.8,6.8,3
"QoQ","Core",0.7,14.9,6.2,21.6,8.2,8.8
"QoQ","Core",0.9,21.3,11.9,27.5,34.7,29.1
"QoQ","COVID",0.5,0.3,6.1,0.4,0.5,-5.5
"QoQ","COVID",0.7,1.6,11.9,1.7,7.7,-4.1
"QoQ","COVID",0.9,0.8,7.8,1.3,0.6,-6.7
"YoY","Full",0.5,22.8,26,22.1,30.6,3.9
"YoY","Full",0.7,20.4,30.3,20.1,32.9,2.4
"YoY","Full",0.9,17.8,40.8,18.2,38.1,-2.3
"YoY","GreatInflation",0.5,33.2,25.6,30.9,31.3,3.4
"YoY","GreatInflation",0.7,24.4,39.1,19.5,36.3,-7.7
"YoY","GreatInflation",0.9,33.3,37.1,24.8,39.8,-5.9
"YoY","Core",0.5,19.8,14.8,17.5,16.6,-0.4
"YoY","Core",0.7,22.7,17.8,19.7,18.8,-2
"YoY","Core",0.9,10.7,13.7,11.2,21.5,8.3
"YoY","COVID",0.5,15,10.6,13.8,9,-2.8
"YoY","COVID",0.7,35.7,23,20,21,-17.7
"YoY","COVID",0.9,0,0,0,0,0
